school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime_mat,studytime_por,paid_mat,paid_por,activities,nursery,higher,internet,romantic,absences_por,absences_mat,G3_mat,G3_por
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,2,no,no,no,yes,yes,no,no,4,6,6,11
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,2,no,no,no,no,yes,yes,no,2,4,6,11
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,2,yes,no,no,yes,yes,yes,no,6,10,10,12
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,3,yes,no,yes,yes,yes,yes,yes,0,2,15,14
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,2,yes,no,no,yes,yes,no,no,0,4,10,13
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,2,yes,no,yes,yes,yes,yes,no,6,10,15,13
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,2,no,no,no,yes,yes,yes,no,0,0,11,13
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,2,no,no,no,yes,yes,no,no,2,6,6,13
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,2,yes,no,no,yes,yes,yes,no,0,0,19,17
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,2,yes,no,yes,yes,yes,yes,no,0,0,15,13
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,2,yes,no,no,yes,yes,yes,no,2,0,9,14
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,3,no,no,yes,yes,yes,yes,no,0,4,12,13
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,1,yes,no,yes,yes,yes,yes,no,0,2,14,12
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,2,yes,no,no,yes,yes,yes,no,0,2,11,13
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,3,no,no,no,yes,yes,yes,yes,0,0,16,15
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,1,no,no,no,yes,yes,yes,no,6,4,14,17
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,3,yes,no,yes,yes,yes,yes,no,10,6,14,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,2,no,no,yes,yes,yes,no,no,2,4,10,14
